skip_reason	title	categories	website	phone	full_address	adresse	postal_code	city	lat	lng	maps_url	hexid
not_paris	Mélanie Villanova - Naturopathe	Naturopathe, Service establishment	http://melanievillanova.com/	0628966484					46.123479499999995	4.539653899999999	https://www.google.com/maps/preview/place/M%C3%A9lanie+Villanova+-+Naturopathe/@46.1234795,4.5396539,2765a,13.1y/data=!4m2!3m1!1s0x82556e33c2f24ef1:0xa297093b6b218599	0x0:0xa297093b6b218599
unparseable_name	Formation Naturopathie	Naturopathe			87 bis Rue Blomet, 75015 Paris	87 bis Rue Blomet	75015	Paris	48.8411136	2.3015393	https://www.google.com/maps/preview/place/Formation+Naturopathie,+87+bis+Rue+Blomet,+75015+Paris/@48.8411136,2.3015393,2626a,13.1y/data=!4m2!3m1!1s0x47e6703e66e9b81b:0x8508538f9179671b	0x0:0x8508538f9179671b
unparseable_name	Adrien Naturopathe	Naturopathe		0659208914	23 Rue d'Argenteuil, 75001 Paris	23 Rue d'Argenteuil	75001	Paris	48.8660388	2.3332207	https://www.google.com/maps/preview/place/Adrien+Naturopathe,+23+Rue+d'Argenteuil,+75001+Paris/@48.8660388,2.3332207,2625a,13.1y/data=!4m2!3m1!1s0x47e66f52a961cea5:0xf7a22bf42a4e8677	0x0:0xf7a22bf42a4e8677
unparseable_name	Deboterah Paris	Magasin de vitamines et compléments alimentaires, Naturopathe	https://www.deboterah.com/	0170939773	5 Rue de Castiglione, 75001 Paris	5 Rue de Castiglione	75001	Paris	48.8661501	2.3276529	https://www.google.com/maps/preview/place/Deboterah+Paris,+5+Rue+de+Castiglione,+75001+Paris/@48.8661501,2.3276529,2625a,13.1y/data=!4m2!3m1!1s0x3ab5bb4a8d5ea73:0x92e53c28fd152251	0x0:0x92e53c28fd152251
unparseable_name	Vitalistique	Nutritionniste, Service d'hypnothérapie, Naturopathe, Coach particulier	http://www.vitalistique.com/	0618837087	1 Rue le Regrattier, 75004 Paris	1 Rue le Regrattier	75004	Paris	48.8518092	2.354132	https://www.google.com/maps/preview/place/Vitalistique,+1+Rue+le+Regrattier,+75004+Paris/@48.8518092,2.354132,2625a,13.1y/data=!4m2!3m1!1s0x218e608feff6e11d:0xc18eb6a380bdc296	0x0:0xc18eb6a380bdc296
unparseable_name	Théra Santé	Naturopathe, Massothérapeute, Professeur de yoga	http://www.thera-sante.fr/?utm_source=gmb	0623870376	1 Bd Saint-Michel, 75005 Paris	1 Bd Saint-Michel	75005	Paris	48.852970299999996	2.3441970999999997	https://www.google.com/maps/preview/place/Th%C3%A9ra+Sant%C3%A9,+1+Bd+Saint-Michel,+75005+Paris/@48.8529703,2.3441971,2625a,13.1y/data=!4m2!3m1!1s0x47e6717a7c0b6ff3:0xe05da53f5fd694d4	0x0:0xe05da53f5fd694d4
unparseable_name	Naturopathie et diététique paris 5	Naturopathe, Diététicien, Praticien en drainage lymphatique	https://naturopathie-et-dietetique.fr/	0684526603	24 Rue Geoffroy-Saint-Hilaire, 75005 Paris	24 Rue Geoffroy-Saint-Hilaire	75005	Paris	48.8402228	2.3564529999999997	https://www.google.com/maps/preview/place/Naturopathie+et+di%C3%A9t%C3%A9tique+paris+5,+24+Rue+Geoffroy-Saint-Hilaire,+75005+Paris/@48.8402228,2.356453,2626a,13.1y/data=!4m2!3m1!1s0x47e671595ab04dcd:0x6688f8ee51c73816	0x0:0x6688f8ee51c73816
unparseable_name	Naturopathe Paris 5 - NaturoKos	Naturopathe	https://www.naturokos.com/	0656786516	67 Rue Buffon, 75005 Paris	67 Rue Buffon	75005	Paris	48.8413578	2.3570306999999997	https://www.google.com/maps/preview/place/Naturopathe+Paris+5+-+NaturoKos,+67+Rue+Buffon,+75005+Paris/@48.8413578,2.3570307,2626a,13.1y/data=!4m2!3m1!1s0x47e67143edbf2be5:0x13e358c5cb672535	0x0:0x13e358c5cb672535
unparseable_name	Holistic social club	Naturopathe	http://www.holisticsocialclub.fr/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=14154923062979367063	0651978924	12 Rue d'Ulm, 75005 Paris	12 Rue d'Ulm	75005	Paris	48.8448212	2.3452468	https://www.google.com/maps/preview/place/Holistic+social+club,+12+Rue+d'Ulm,+75005+Paris/@48.8448212,2.3452468,2626a,13.1y/data=!4m2!3m1!1s0x47e67117c71509f5:0x7a7baf63c880794	0x0:0x7a7baf63c880794
unparseable_name	Cabinet naturopathe	Praticien de médecine alternative			62 Rue du Cardinal Lemoine, 75005 Paris	62 Rue du Cardinal Lemoine	75005	Paris	48.8456678	2.3501925	https://www.google.com/maps/preview/place/Cabinet+naturopathe,+62+Rue+du+Cardinal+Lemoine,+75005+Paris/@48.8456678,2.3501925,2626a,13.1y/data=!4m2!3m1!1s0x47e671ef01b0a6bd:0x585bacfd013c00c4	0x0:0x585bacfd013c00c4
